p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene
2.1747514424144716e-7	-1.082431384017612	0.173	0.54	0.004200967361312035	St6galnac6
2.199300511708975e-7	2.1631798951692653	0.393	0	0.004248388798468227	Gm15915
2.337107002191958e-7	-1.0739567655416864	0.47	0.86	0.004514589596134206	Crlf3
2.4148330997266387e-7	-0.9648944014747718	0.5	0.84	0.004664733098741948	Uhrf1bp1l
2.507132034784549e-7	-0.9403770688763684	0.018	0.22	0.004843026951593313	Smo
2.5400059110314124e-7	1.434018083939325	0.702	0.44	0.004906529418339379	Lasp1
2.56636893601291e-7	-0.6411003243054476	0.988	1	0.004957454873696139	Prrc2c
2.566389363352512e-7	0.5387282047724442	1	1	0.004957494333188047	Rtraf
2.666780605998878e-7	-0.726631308786328	0.863	1	0.005151420096608033	Tomm70a
2.6772020785370283e-7	2.1298435361039667	0.429	0.04	0.005171551255109977	Clmn
2.723596854744475e-7	1.010628776380667	0.893	0.8	0.005261172044309903	Gipc1
2.8358286998584146e-7	-1.3464963996137007	0.012	0.2	0.0054779702995165	Bmerb1
2.880808267701295e-7	-0.48039107648906465	1	1	0.005564857330718592	Pabpn1
2.8853345948751114e-7	1.2497491704194832	0.762	0.54	0.0055736008369202525	Ddt
2.9756007554179857e-7	0.9354277063155316	0.887	0.78	0.005747967979240923	Mkrn1
3.006175894284685e-7	-1.1398115871401382	0.375	0.72	0.005807029974989726	Peak1
3.02772566787945e-7	-0.9273504084757127	0.512	0.84	0.005848657672642733	Rcn1
3.0331757787886925e-7	-0.7441216758827013	0.78	0.94	0.005859185651886117	Lrpprc
3.0570930510400873e-7	-0.406229602203255	0.071	0.36	0.005905386646694137	Pdzrn3
3.061562876407627e-7	-0.6235003040598721	0.97	1	0.005914021008356613	Nasp
3.0625842466437854e-7	1.3227588384843665	0.738	0.42	0.0059159939892418	Ppm1h
3.0653881511535147e-7	-2.0007157594635006	0.202	0.54	0.005921410291583244	Ralyl
3.1331917602679814e-7	-0.5186881580474054	0.006	0.18	0.006052386523309659	Lrrc75aos2
3.1331917602679814e-7	-0.6895579834325569	0.006	0.18	0.006052386523309659	Lrrtm2
3.1342166873455176e-7	1.7182751099401061	0.762	0.46	0.006054366374945336	C130073E24Rik
3.1357228896877044e-7	-0.8891021799251377	0.024	0.24	0.006057275906009739	Ndrg4
3.145824710740554e-7	-0.6910881767657675	0.976	1	0.006076789593737529	Efna5
3.171933379516241e-7	-0.7124483724929006	0.905	1	0.006127223709211522	Pcbp4
3.1747726216555177e-7	-1.3261923291515632	0.161	0.5	0.006132708273251963	Smad6
3.18891572621403e-7	0.4918976487706139	1	1	0.006160028508327642	Ndufs6
3.2309357192908095e-7	-1.0595477616337692	0.024	0.24	0.006241198528954057	Lpar1
